item_name,category,price,unit,calories,protein_g,carbs_g,fat_g,fiber_g
Popcorn,Snacks,2.88,per bag,544,16.7,16.2,7.7,4.4
Cottage Cheese,Dairy,18.75,per pack,442,29.8,55.1,2.1,9.4
Chicken Breast,Meat & Seafood,3.8,per dozen,450,10.7,53.7,22.7,3.8
English Muffin,Bakery,19.12,per bag,450,22.0,51.6,3.5,8.6
Oats,Pantry,18.71,per bottle,383,19.2,9.9,4.4,7.0
Granola Bar,Snacks,7.63,per box,564,20.3,58.9,18.2,6.0
Turkey,Meat & Seafood,18.03,per lb,330,24.7,29.4,2.9,9.9
Donut,Bakery,12.32,per dozen,317,27.6,71.4,22.4,3.4
Sparkling Water,Beverages,14.82,per lb,101,3.0,6.8,5.6,3.8
Frozen Dumplings,Frozen,11.63,per lb,118,6.9,52.9,4.7,4.2
Cottage Cheese,Dairy,12.75,per dozen,62,5.1,11.4,14.4,9.8
Pretzels,Snacks,17.75,per bottle,87,9.1,46.8,16.3,6.6
Shrimp,Meat & Seafood,3.62,per lb,260,1.5,5.0,22.0,9.8
Chicken Breast,Meat & Seafood,4.27,per bottle,583,6.5,12.6,4.7,9.1
Sugar,Pantry,6.1,per bag,252,8.7,13.2,0.5,10.0
Oats,Pantry,6.4,per bottle,149,27.4,42.2,21.7,4.3
Salmon,Meat & Seafood,10.18,per bottle,555,12.8,66.3,21.9,7.2
Cheese,Dairy,15.83,per pack,176,12.7,24.2,13.9,6.2
Iced Tea,Beverages,9.27,per bag,185,28.3,64.8,23.4,9.4
Rice Cakes,Snacks,1.49,per lb,299,3.6,49.7,18.8,1.3
Olive Oil,Pantry,10.26,per bag,572,16.7,19.4,22.3,8.7
Spinach,Produce,3.74,per bag,153,14.9,63.6,24.5,5.7
Broccoli,Produce,2.67,per bag,293,4.5,30.3,20.7,5.7
Cola,Beverages,1.5,per pack,219,21.4,55.0,15.6,9.5
Carrot,Produce,9.72,per box,417,28.8,28.1,22.0,8.1
Cookies,Snacks,2.21,per pack,390,29.5,60.9,6.1,7.1
Coffee,Beverages,17.21,per pack,553,19.2,27.2,10.8,4.7
Butter,Dairy,3.17,per box,57,27.9,12.5,22.4,0.1
Smoothie,Beverages,6.07,per bottle,516,8.0,24.3,13.3,9.1
Ground Beef,Meat & Seafood,13.94,per pack,337,11.9,60.0,17.5,7.2
Trail Mix,Snacks,2.76,per bottle,46,0.9,7.0,14.9,8.2
Blueberry,Produce,16.68,per dozen,256,27.6,45.3,7.9,9.4
Frozen Fries,Frozen,4.33,per pack,272,20.4,53.5,6.3,1.3
Pita Bread,Bakery,16.58,per box,258,12.1,14.1,5.5,1.8
Chicken Breast,Meat & Seafood,14.78,per pack,493,9.6,20.5,19.4,0.8
Frozen Pasta,Frozen,19.59,per lb,471,27.7,9.4,9.6,8.0
Paneer,Dairy,3.67,per bag,589,17.5,29.7,8.8,6.3
Ghee,Dairy,4.99,per lb,371,4.9,39.3,20.5,4.2
